reaction formula,dG0_prime,dGm_prime,deltaGpH72,mMdeltaGpH72
agm_c + h2o_c --> ptrc_c + urea_c,-57.6790746444,-74.7939121791,-4.7,-8.8
acg5sa_c + nadp_c + pi_c <=> acg5p_c + h_c + nadph_c,15.5264164204,32.6412539551,0.2,4.3
ahcys_c + h2o_c --> ade_c + rhcys_c,-14.8453128377,-31.9601503725,-0.8,-4.9
10fthf_c + aicar_c <=> fprica_c + thf_c,4.22649876179,4.22649876179,-6.2,-6.2
air_c + atp_c + hco3_c --> 5caiz_c + adp_c + h_c + pi_c,-59.5565498522,-59.5565498522,9.2,9.2
5aizc_c <=> 5caiz_c,-36.7191527845,-36.7191527845,0,0
akg_c + coa_c + nad_c --> co2_c + nadh_c + succoa_c,-22.3013588881,-22.3013588881,-8.3,-8.3
alaala_c + h2o_c --> 2.0 ala__D_c,-2.08383135087,-19.1986688856,-0.4,-4.5
alaala_p + atp_c + h2o_c --> adp_c + alaala_c + h_c + pi_c,-28.0979169853,-45.21275452,-6.6,-10.7
2.0 ala__D_c + atp_c <=> adp_c + alaala_c + h_c + pi_c,-26.0140856344,-26.0140856344,-6.2,-6.2
ala__L_c <=> ala__D_c,-0.0390694996343,-0.0390694996343,0,0
ala__D_c + pydx5p_c --> pyam5p_c + pyr_c,-0.11872857707,-0.11872857707,2.5,2.5
akg_c + ala__L_c <=> glu__L_c + pyr_c,-1.43784140478,-1.43784140478,0,0
ala__L_c + pydx5p_c --> pyam5p_c + pyr_c,-0.157798076704,-0.157798076704,2.5,2.5
ala__L_p + atp_c + h2o_c --> adp_c + ala__L_c + h_c + pi_c,-28.0979169853,-45.21275452,-6.6,-10.7
glyald_c + h_c + nadh_c <=> glyc_c + nad_c,-42.0192244085,-42.0192244085,-5.4,-5.4
etoh_c + nad_c <=> acald_c + h_c + nadh_c,24.1196318604,24.1196318604,6,6
acald_c + h2o_c + nad_c --> ac_c + 2.0 h_c + nadh_c,-43.3126544967,-43.3126544967,-11.5,-11.5
acald_c + h2o_c + nadp_c --> ac_c + 2.0 h_c + nadph_c,-39.8925951657,-39.8925951657,-11.3,-11.3
h2o_c + nadp_c + ppal_c --> 2.0 h_c + nadph_c + ppa_c,-42.2998875796,-42.2998875796,-9.2,-9.2
btal_c + h2o_c + nad_c --> but_c + 2.0 h_c + nadh_c,-38.0885956561,-38.0885956561,-9.4,-9.4
all__D_c + atp_c --> adp_c + all6p_c + h_c,-10.0021212761,-10.0021212761,-3.8,-3.8
alltn_c + h2o_c --> alltt_c + h_c,-51.9117733201,-51.9117733201,-3.8,-3.8
all__D_p + atp_c + h2o_c --> adp_c + all__D_c + h_c + pi_c,-28.0979169853,-45.21275452,-6.6,-10.7
h_c + mthgxl_c + nadph_c --> acetol_c + nadp_c,-26.3086421695,-26.3086421695,-8.1,-8.1
acetol_c + h_c + nadh_c --> 12ppd__R_c + nad_c,-23.0855386048,-23.0855386048,-3.9,-3.9
altrn_c --> 2ddglcn_c + h2o_c,-37.429105121,-37.429105121,-10.7,-10.7
malt_c + malttr_c --> glc__D_c + maltttr_c,-1.1679468746,-1.1679468746,0,0
malt_c + maltttr_c --> glc__D_c + maltpt_c,-1.16794373667,-1.16794373667,0,0
malt_c + maltpt_c --> glc__D_c + malthx_c,-1.16794409192,-1.16794409192,0,0
malt_c + malthx_c --> glc__D_c + malthp_c,-1.16794446395,-1.16794446395,0,0
acmanap_c <=> acgam6p_c,-2.17530559336,-2.17530559336,0,0
acmana_c + atp_c --> acmanap_c + adp_c + h_c,-14.1813481195,-14.1813481195,-3.8,-3.8
air_c + h2o_c + nad_c --> 4ampm_c + 2.0 for_c + 3.0 h_c + nadh_c,-232.878550004,-267.108225074,-41.1,-49.3
amp_c + h2o_c --> ade_c + r5p_c,-19.3427347145,-36.4575722492,-0.8,-4.9
cgly_c + h2o_c --> cys__L_c + gly_c,6.65089790694,-10.4639396278,-0.4,-4.5
anth_c + prpp_c --> ppi_c + pran_c,-56.5542058364,-56.5542058364,-11.3,-11.3
chor_c + gln__L_c --> anth_c + glu__L_c + h_c + pyr_c,-77.6332645995,-94.7481021342,-42.9,-47
2aobut_c + h_c --> aact_c + co2_c,-20.3233865026,-37.4382240373,-3.4,-7.5
ala__L_c + h_c + pmcoa_c <=> 8aonn_c + co2_c + coa_c,10.5407381928,-6.57409934195,2,-2.1
ap4a_c + h2o_c --> 2.0 adp_c + 2.0 h_c,-37.4532581511,-54.5680956859,-8.4,-12.5
5apru_c + h_c + nadph_c --> 5aprbu_c + nadp_c,-32.5760491133,-32.5760491133,-3.7,-3.7
arab__L_c <=> rbl__L_c,15.339675547,15.339675547,-0.8,-0.8
arbtn_fe3_p + atp_c + h2o_c --> adp_c + arbtn_fe3_c + h_c + pi_c,-28.0979169853,-45.21275452,0.1,-4
arab__L_p + atp_c + h2o_c --> adp_c + arab__L_c + h_c + pi_c,-28.0979169853,-45.21275452,-6.6,-10.7
arg__L_c + h_c --> agm_c + co2_c,-13.7863804351,-30.9012179698,-3.3,-7.4
arg__L_p + h_p --> agm_p + co2_p,-13.7863804351,-30.9012179698,-3.3,-7.4
argsuc_c <=> arg__L_c + fum_c,14.8847824428,-2.23005509196,7.7,3.6
asp__L_c + atp_c + citr__L_c --> amp_c + argsuc_c + h_c + ppi_c,2.76823809272,2.76823809272,0.8,0.8
arg__L_p + atp_c + h2o_c --> adp_c + arg__L_c + h_c + pi_c,-28.0979169853,-45.21275452,-6.6,-14.2
aspsa_c + nadp_c + pi_c <=> 4pasp_c + h_c + nadph_c,-8.76656693365,8.34827060107,0.2,4.3
asp__L_c + atp_c + gln__L_c + h2o_c --> amp_c + asn__L_c + glu__L_c + h_c + ppi_c,-28.4397373902,-45.5545749249,-8,-12.1
asn__L_p + atp_c + h2o_c --> adp_c + asn__L_c + h_c + pi_c,-28.0979169853,-45.21275452,-6.6,-10.7
aso3_c + atp_c + h2o_c --> adp_c + aso3_p + h_c + pi_c,-28.0979169853,-45.21275452,0.1,-4
asp__L_c + h_c --> ala_B_c + co2_c,-22.217379443,-39.3322169778,-3.3,-7.4
asp__L_c + cbp_c --> cbasp_c + h_c + pi_c,-21.2234841466,-21.2234841466,-9.3,-9.3
asp__L_c + atp_c <=> 4pasp_c + adp_c,16.2485497758,16.2485497758,2.7,2.7
asp__L_c + fum_c --> h_c + iasp_c + succ_c,1.07602032148,1.07602032148,-35.5,-35.5
asp__L_c + o2_c --> h2o2_c + h_c + iasp_c,-69.1145652,-61.9284025594,-52.1,-50.4
akg_c + asp__L_c <=> glu__L_c + oaa_c,2.90119910581,2.90119910581,0,0
asp__L_p + atp_c + h2o_c --> adp_c + asp__L_c + h_c + pi_c,-28.0979169853,-45.21275452,-6.6,-7.2
arg__L_c + succoa_c --> coa_c + h_c + sucarg_c,-21.6441382395,-21.6441382395,-5.2,-5.2
athr__L_c + nadp_c <=> 2aobut_c + h_c + nadph_c,25.4247977732,25.4247977732,4.3,4.3
atp_c + h2o_c --> adp_c + h_c + pi_c,-28.0979169853,-45.21275452,-6.6,-10.7
adp_c + 4.0 h_p + pi_c <=> atp_c + h2o_c + 3.0 h_c,28.0979169853,45.21275452,6.6,1.2
betald_c + h2o_c + nad_c --> glyb_c + 2.0 h_c + nadh_c,-33.3302214379,-33.3302214379,-9.4,-9.4
betald_c + h2o_c + nadp_c --> glyb_c + 2.0 h_c + nadph_c,-29.9101621069,-29.9101621069,-9.2,-9.2
h2o_c + pap_c --> amp_c + pi_c,-16.2761300698,-33.3909676046,-2.8,-6.9
accoa_c + but_c --> ac_c + btcoa_c,3.80449445421,3.80449445421,-1.5,-1.5
2.0 h2o2_c --> 2.0 h2o_c + o2_c,-193.067877516,-183.139202622,-45.5,-43.1
atp_c + cbi_p + h2o_c --> adp_c + cbi_c + h_c + pi_c,-28.0979169853,-45.21275452,0.1,-4
atp_c + cbl1_p + h2o_c --> adp_c + cbl1_c + h_c + pi_c,-28.0979169853,-45.21275452,0.1,-0.5
2.0 atp_c + gln__L_c + h2o_c + hco3_c --> 2.0 adp_c + cbp_c + glu__L_c + 2.0 h_c + pi_c,-7.51701333163,-24.6318508663,-10.5,-14.6
atp_c + cd2_c + h2o_c --> adp_c + cd2_p + h_c + pi_c,-28.0979169853,-45.21275452,-6.6,-3.7
4c2me_c + atp_c --> 2p4c2me_c + adp_c + h_c,-1.55300811227,-1.55300811227,-3.8,-3.8
atp_c + cgly_p + h2o_c --> adp_c + cgly_c + h_c + pi_c,-28.0979169853,-45.21275452,-6.6,-10.7
atp_c + chol_p + h2o_c --> adp_c + chol_c + h_c + pi_c,-28.0979169853,-45.21275452,-6.6,-14.2
chor_c --> pphn_c,-21.0691068978,-21.0691068978,-17.5,-17.5
3psme_c --> chor_c + pi_c,-53.6795492106,-70.7943867453,-14.2,-18.3
chor_c --> 4hbz_c + pyr_c,-89.311756816,-106.426594351,-34.5,-38.6
cinnm_c + h_c + nadh_c + o2_c --> cenchddd_c + nad_c,-393.486085805,-369.185085629,-73.8,-68.1
cit_c --> ac_c + oaa_c,2.22633269952,-14.8885048352,1.5,-2.6
cmp_c + h2o_c --> csn_c + r5p_c,-13.9717965827,-31.0866341175,-0.9,-5
atp_c + cobalt2_c + h2o_c --> adp_c + cobalt2_p + h_c + pi_c,-28.0979169853,-45.21275452,-6.6,-3.7
cpppg3_c + 2.0 h_c + o2_c --> 2.0 co2_c + 2.0 h2o_c + pppg9_c,-367.287145546,-377.21582044,Not calculated,Not calculated
atp_c + crn__D_p + h2o_c --> adp_c + crn__D_c + h_c + pi_c,-28.0979169853,-45.21275452,-6.6,-10.7
atp_c + crn_p + h2o_c --> adp_c + crn_c + h_c + pi_c,-28.0979169853,-45.21275452,-6.6,-10.7
accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c,-31.0175620894,-31.0175620894,-8.6,-8.6
atp_c + gln__L_c + h2o_c + utp_c --> adp_c + ctp_c + glu__L_c + 2.0 h_c + pi_c,-16.1281568416,-33.2429943763,-6.3,-10.4
atp_c + cu2_c + h2o_c --> adp_c + cu2_p + h_c + pi_c,-28.0979169853,-45.21275452,-6.6,-3.7
atp_c + cys__D_p + h2o_c --> adp_c + cys__D_c + h_c + pi_c,-28.0979169853,-45.21275452,-6.6,-10.7
acser_c + h2s_c --> ac_c + cys__L_c + h_c,-49.2544921272,-49.2544921272,-12.5,-12.5
atp_c + cys__L_c + h2o_c --> adp_c + cys__L_p + h_c + pi_c,-28.0979169853,-45.21275452,-6.6,-10.7
atp_c + cys__L_p + h2o_c --> adp_c + cys__L_c + h_c + pi_c,-28.0979169853,-45.21275452,-6.6,-10.7
cytd_c + h2o_c --> csn_c + rib__D_c,1.59128210944,-15.5235554253,-0.9,-5
cytd_c + gtp_c --> cmp_c + gdp_c + h_c,-9.69843188982,-9.69843188982,-4.1,-4.1
atp_c + cmp_c <=> adp_c + cdp_c,-5.84455305611,-5.84455305611,-0.1,-0.1
atp_c + dcmp_c <=> adp_c + dcdp_c,-5.76873385113,-5.76873385113,-0.1,-0.1
atp_c + damp_c <=> adp_c + dadp_c,-3.06374301719,-3.06374301719,-0.1,-0.1
26dap__M_c + h_c --> co2_c + lys__L_c,-17.2891054173,-34.403942952,-3.3,-7.4
26dap_LL_c <=> 26dap__M_c,-1.65417267623,-1.65417267623,0,0
26dap__M_p + atp_c + h2o_c --> 26dap__M_c + adp_c + h_c + pi_c,-28.0979169853,-45.21275452,-6.6,-10.7
ru5p__D_c --> db4p_c + for_c + h_c,-80.2630083283,-97.377845863,-20.7,-24.8
atp_c + co2_c + dann_c --> adp_c + dtbt_c + 3.0 h_c + pi_c,9.7125758675,9.7125758675,-23.9,-23.9
2dh3dgal_c + atp_c --> 2dh3dgal6p_c + adp_c + h_c,-12.6128950151,-12.6128950151,-3.8,-3.8
2ddglcn_c + atp_c --> 2ddg6p_c + adp_c + h_c,-19.5030383628,-19.5030383628,-1.3,-1.3
e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c,-70.2657965397,-70.2657965397,-12.6,-12.6
2dh3dgal6p_c <=> g3p_c + pyr_c,10.9618402351,-6.15299729966,0.7,-3.4
atp_c + dgmp_c <=> adp_c + dgdp_c,-2.59493406016,-2.59493406016,-0.1,-0.1
23dhmb_c --> 3mob_c + h2o_c,-35.5157555917,-35.5157555917,-6.9,-6.9
23dhmp_c --> 3mop_c + h2o_c,-35.5154498814,-35.5154498814,-6.9,-6.9
dha_c + pep_c --> dhap_c + pyr_c,-43.8970199653,-43.8970199653,-9.1,-9.1
23ddhb_c + nad_c <=> 23dhb_c + h_c + nadh_c,-24.0798727842,-24.0798727842,-8.9,-8.9
cenchddd_c + nad_c --> dhcinnm_c + h_c + nadh_c,-24.0851349455,-24.0851349455,-8.9,-8.9
dhcinnm_c + o2_c --> h_c + hkntd_c,-254.718914529,-230.417914354,-69.3,-63.6
23dhdp_c + h_c + nadph_c --> nadp_c + thdp_c,-26.4683907631,-26.4683907631,-1,-1
aspsa_c + pyr_c --> 23dhdp_c + 2.0 h2o_c + h_c,-112.056854111,-94.9420165762,-31.6,-27.5
dhf_c + h_c + nadph_c <=> nadp_c + thf_c,-33.112547411,-33.112547411,-0.7,-0.7
atp_c + dhpt_c + glu__L_c --> adp_c + dhf_c + h_c + pi_c,-15.4103625377,-15.4103625377,-6.2,-6.2
dhor__S_c + h2o_c <=> cbasp_c + h_c,-1.20432461268,-1.20432461268,-5.3,-5.3
cechddd_c + nad_c --> dhpppn_c + h_c + nadh_c,-24.087691281,-24.087691281,-8.9,-8.9
4abz_c + 6hmhptpp_c --> dhpt_c + ppi_c,-45.9636882885,-45.9636882885,-11.3,-11.3
2dda7p_c --> 3dhq_c + pi_c,-133.430268169,-150.545105704,-18.5,-22.6
3dhq_c --> 3dhsk_c + h2o_c,-5.29085732403,-5.29085732403,-8.5,-8.5
25dkglcn_c + h_c + nadh_c --> 5dglcn_c + nad_c,-28.1412781664,-28.1412781664,-6.4,-6.4
25dkglcn_c + h_c + nadph_c --> 5dglcn_c + nadp_c,-31.5613374974,-31.5613374974,-6.7,-6.7
dmpp_c + ipdp_c --> grdp_c + ppi_c,-69.0640324155,-69.0640324155,-13.3,-13.3
h2mb4p_c + h_c + nadh_c --> dmpp_c + h2o_c + nad_c,-68.839900923,-68.839900923,-16.4,-16.4
dhpmp_c + h2o_c --> dhnpt_c + pi_c,-15.1316067534,-32.2464442881,-2.8,-6.9
ahdt_c + h2o_c --> dhpmp_c + h_c + ppi_c,-39.0816842111,-56.1965217458,-8.2,-12.3
23doguln_c + h_c + nadh_c --> 3dhguln_c + nad_c,-23.0887415955,-23.0887415955,-8.9,-8.9
atp_c + dpcoa_c --> adp_c + coa_c + h_c,7.75000320214,7.75000320214,-3.8,-3.8
2dhp_c + h_c + nadph_c --> nadp_c + pant__R_c,-25.4659811978,-25.4659811978,-6.7,-6.7
2dr5p_c --> acald_c + g3p_c,20.1080412372,2.99320370246,1.2,-2.9
nadp_c + ser__D_c <=> 2amsa_c + h_c + nadph_c,28.9243785259,28.9243785259,5.8,5.8
atp_c + dtmp_c <=> adp_c + dtdp_c,-5.24952588609,-5.24952588609,-0.1,-0.1
atp_c + duri_c --> adp_c + dump_c + h_c,-13.0531993652,-13.0531993652,-3.8,-3.8
duri_c + pi_c <=> 2dr1p_c + ura_c,2.53646399136,2.53646399136,1.9,1.9
dutp_c + h2o_c --> dump_c + h_c + ppi_c,-38.5514820644,-55.6663195991,-8,-12.1
dxyl5p_c + h_c + nadph_c --> 2me4p_c + nadp_c,-28.1018033091,-28.1018033091,-5.5,-5.5
g3p_c + h_c + pyr_c --> co2_c + dxyl5p_c,-30.2999632112,-30.2999632112,-8.3,-8.3
atp_c + dxyl_c --> adp_c + dxyl5p_c + h_c,-13.538559844,-13.538559844,-4.1,-4.1
e4p_c + h2o_c + nad_c <=> 4per_c + 2.0 h_c + nadh_c,-35.6317408683,-35.6317408683,-9.4,-9.4
3hbcoa_c <=> b2coa_c + h2o_c,3.49886869801,3.49886869801,2.1,2.1
3hhcoa_c <=> h2o_c + hx2coa_c,0.975818884009,0.975818884009,2.1,2.1
3hocoa_c <=> h2o_c + oc2coa_c,0.416849959621,0.416849959621,2.1,2.1
3hdcoa_c <=> dc2coa_c + h2o_c,0.416849959621,0.416849959621,2.1,2.1
3hddcoa_c <=> dd2coa_c + h2o_c,0.416849959621,0.416849959621,2.1,2.1
3htdcoa_c <=> h2o_c + td2coa_c,0.416849959621,0.416849959621,2.1,2.1
3hhdcoa_c <=> h2o_c + hdd2coa_c,0.416849959621,0.416849959621,2.1,2.1
3hodcoa_c <=> h2o_c + od2coa_c,0.416849959621,0.416849959621,2.1,2.1
2ddg6p_c --> g3p_c + pyr_c,13.3741054654,-3.74073206931,0.7,-3.4
6pgc_c --> 2ddg6p_c + h2o_c,-43.077527381,-43.077527381,-8.3,-8.3
2pg_c <=> h2o_c + pep_c,-4.0969159911,-4.0969159911,-0.9,-0.9
f6p_c <=> dha_c + g3p_c,18.4626077356,1.34777020089,4.2,0.1
f6p_c + h2o_c --> fru_c + pi_c,-12.3731859648,-29.4880234995,-2.8,-6.9
dcacoa_c + h2o_c --> coa_c + dca_c + h_c,-23.564557058,-40.6793945927,-5.6,-9.7
ddcacoa_c + h2o_c --> coa_c + ddca_c + h_c,-23.564557058,-40.6793945927,-5.6,-9.7
h2o_c + tdcoa_c --> coa_c + h_c + ttdca_c,-23.564557058,-40.6793945927,-5.6,-9.7
h2o_c + pmtcoa_c --> coa_c + h_c + hdca_c,-20.8218290612,-37.936666596,-5.6,-9.7
h2o_c + stcoa_c --> coa_c + h_c + ocdca_c,-23.564557058,-40.6793945927,-5.6,-9.7
h2o_c + hxcoa_c --> coa_c + h_c + hxa_c,-23.5165103836,-40.6313479183,-5.6,-9.7
h2o_c + occoa_c --> coa_c + h_c + octa_c,-23.5806527638,-40.6954902986,-5.6,-9.7
atp_c + coa_c + dca_p + h_p --> amp_c + dcacoa_c + h_c + ppi_c,-9.84666712591,-9.84666712591,-2.4,-2.4
atp_c + coa_c + ddca_p + h_p --> amp_c + ddcacoa_c + h_c + ppi_c,-9.84666712591,-9.84666712591,-2.4,-2.4
atp_c + coa_c + h_p + ttdca_p --> amp_c + h_c + ppi_c + tdcoa_c,-9.84666712591,-9.84666712591,-2.4,-2.4
atp_c + coa_c + h_p + hdca_p --> amp_c + h_c + pmtcoa_c + ppi_c,-12.5893951227,-12.5893951227,-2.4,-2.4
atp_c + coa_c + h_p + ocdca_p --> amp_c + h_c + ppi_c + stcoa_c,-9.84666712591,-9.84666712591,-2.4,-2.4
atp_c + coa_c + h_p + hxa_p --> amp_c + h_c + hxcoa_c + ppi_c,-9.89471380037,-9.89471380037,-2.4,-2.4
atp_c + coa_c + h_p + octa_p --> amp_c + h_c + occoa_c + ppi_c,-9.8305714201,-9.8305714201,-2.4,-2.4
fad_c + h_c + nadh_c --> fadh2_c + nad_c,-23.0953834233,-23.0953834233,-4,-4
fad_c + h_c + nadph_c --> fadh2_c + nadp_c,-26.5154427543,-26.5154427543,-4.3,-4.3
fdp_c <=> dhap_c + g3p_c,14.9611076557,-2.15372987905,4.2,0.1
fdp_c + h2o_c --> f6p_c + pi_c,-16.8041237474,-33.9189612821,-2.8,-6.9
fuc__L_c <=> fcl__L_c,5.47946054147,5.47946054147,0,0
atp_c + fcl__L_c --> adp_c + fc1p_c + h_c,-19.3533508492,-19.3533508492,-3.8,-3.8
fc1p_c <=> dhap_c + lald__L_c,19.7988579764,2.68402044168,3.4,-0.7
atp_c + fe2_p + h2o_c --> adp_c + fe2_c + h_c + pi_c,-28.0979169853,-45.21275452,-6.6,-17.6
atp_c + fe3hox_p + h2o_c --> adp_c + fe3hox_c + h_c + pi_c,-28.0979169853,-45.21275452,0.1,-4
fadh2_c + 2.0 fe3_c --> fad_c + 2.0 fe2_c + 2.0 h_c,-190.757508851,-190.757508851,-45.9,-45.9
atp_c + fe3_p + h2o_c --> adp_c + fe3_c + h_c + pi_c,-28.0979169853,-45.21275452,-6.6,-21.1
atp_c + fecrm_p + h2o_c --> adp_c + fecrm_c + h_c + pi_c,-28.0979169853,-45.21275452,0.1,-4
fadh2_c + 2.0 feenter_c --> 2.0 enter_c + fad_c + 2.0 fe2_c + 2.0 h_c,-199.983063634,-234.212738703,Not calculated,Not calculated
2.0 feenter_c + fmnh2_c --> 2.0 enter_c + 2.0 fe2_c + fmn_c + 2.0 h_c,-198.95588822,-233.18556329,Not calculated,Not calculated
