reaction formula,dG0_prime,dGm_prime,deltaGpH72,mMdeltaGpH72
atp_c + coa_c + ppa_c --> adp_c + pi_c + ppcoa_c,14.2154282276,14.2154282276,-1,-1
acgal1p_p + h2o_p --> acgal_p + pi_p,-21.7656644138,-38.8805019486,-2.8,-6.9
acgam1p_p + h2o_p --> acgam_p + pi_p,-19.6722481572,-36.787085692,-2.8,-6.9
acgam_c + atp_c --> acgam6p_c + adp_c + h_c,-11.4043040745,-11.4043040745,-3.8,-3.8
uacgam_c + udcpp_c --> ump_c + unaga_c,4.54328183639,4.54328183639,0,0
acgam_p + pep_c --> acgam6p_c + pyr_c,-39.0776468445,-39.0776468445,-9.1,-9.1
acglu_c + atp_c --> acg5p_c + adp_c,30.2600400563,30.2600400563,2.7,2.7
accoa_c + glu__L_c --> acglu_c + coa_c + h_c,-27.7139705036,-27.7139705036,-5.2,-5.2
2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c,-21.8971395112,-21.8971395112,-10.7,-10.7
ac_c + atp_c <=> actp_c + adp_c,13.39467633,13.39467633,4.3,4.3
h_c + 2.0 pyr_c --> alac__S_c + co2_c,-32.2534925515,-32.2534925515,-10.7,-10.7
acmum6p_c + h2o_c --> acgam6p_c + lac__D_c,-5.94712522188,-23.0619627566,-3.3,-7.4
acmana_p + pep_c --> acmanap_c + pyr_c,-40.625573858,-40.625573858,-9.1,-9.1
acmum_p + pep_c --> acmum6p_c + pyr_c,-42.2570195848,-42.2570195848,-9.1,-9.1
acnam_c --> acmana_c + pyr_c,7.84073808081,-9.27409945391,1,-3.1
btcoa_c + fad_c <=> b2coa_c + fadh2_c,39.9595081323,39.9595081323,12.7,12.7
fad_c + hxcoa_c <=> fadh2_c + hx2coa_c,45.1560062692,45.1560062692,12.7,12.7
fad_c + occoa_c <=> fadh2_c + oc2coa_c,46.281346995,46.281346995,12.7,12.7
dcacoa_c + fad_c <=> dc2coa_c + fadh2_c,46.281346995,46.281346995,12.7,12.7
ddcacoa_c + fad_c <=> dd2coa_c + fadh2_c,46.281346995,46.281346995,12.7,12.7
fad_c + tdcoa_c <=> fadh2_c + td2coa_c,46.281346995,46.281346995,12.7,12.7
fad_c + pmtcoa_c <=> fadh2_c + hdd2coa_c,48.4260101675,48.4260101675,12.7,12.7
fad_c + stcoa_c <=> fadh2_c + od2coa_c,46.281346995,46.281346995,12.7,12.7
acorn_c + h2o_c --> ac_c + orn_c,0.847927838133,-16.2669096966,-1.9,-6
acon_T_c <=> acon_C_c,3.67759069395,3.67759069395,0,0
cit_c <=> acon_C_c + h2o_c,8.31640413235,8.31640413235,1.5,1.5
acon_C_c + h2o_c <=> icit_c,-0.683265792667,-0.683265792667,-0.2,-0.2
acorn_c + akg_c <=> acg5sa_c + glu__L_c,-11.5581152779,-11.5581152779,-1.1,-1.1
ac_c + atp_c + coa_c --> accoa_c + amp_c + ppi_c,-4.48085009684,-4.48085009684,-0.9,-0.9
4adcho_c --> 4abz_c + h_c + pyr_c,-61.3895928567,-78.5044303914,-35.4,-39.5
chor_c + gln__L_c --> 4adcho_c + glu__L_c,-16.2413632012,-16.2413632012,-7.5,-7.5
amp_c + atp_c <=> 2.0 adp_c,-2.55957626527,-2.55957626527,-0.1,-0.1
amp_c + gtp_c <=> adp_c + gdp_c,-0.0877751385701,-0.0877751385701,-0.3,-0.3
amp_c + itp_c <=> adp_c + idp_c,-6.27722037178,-6.27722037178,-0.1,-0.1
amet_c + h_c --> ametam_c + co2_c,-22.3351030573,-39.449940592,-3.3,-7.4
atp_c --> camp_c + ppi_c,7.04313188768,-10.071705647,0.5,-3.6
adn_c + atp_c --> adp_c + amp_c + h_c,-12.2024284552,-12.2024284552,-3.8,-3.8
adn_c + h2o_c --> ade_c + rib__D_c,-4.86760683007,-21.9824443648,-0.8,-4.9
adocbl_p + atp_c + h2o_c --> adocbl_c + adp_c + h_c + pi_c,-26.3975151234,-43.5123526581,0.1,-4
adprib_c + h2o_c --> amp_c + 2.0 h_c + r5p_c,-23.9313247088,-41.0461622435,-8.4,-12.5
ade_c + prpp_c --> amp_c + ppi_c,-17.1504942561,-17.1504942561,-3.3,-3.3
aps_c + atp_c --> adp_c + h_c + paps_c,-13.6729094636,-13.6729094636,-3.8,-3.8
dcamp_c <=> amp_c + fum_c,10.1048079997,-7.01002953505,7.7,3.6
25aics_c <=> aicar_c + fum_c,12.2892828027,-4.82555473205,7.7,3.6
asp__L_c + gtp_c + imp_c --> dcamp_c + gdp_c + 2.0 h_c + pi_c,11.4776864973,11.4776864973,-3.1,-3.1
acgam6p_c + h2o_c --> ac_c + gam6p_c,-6.92797740524,-24.04281494,-1.9,-6
agm_c + h2o_c --> ptrc_c + urea_c,-57.6794603864,-74.7942979211,-4.7,-8.8
acg5sa_c + nadp_c + pi_c <=> acg5p_c + h_c + nadph_c,7.82335749172,24.9381950264,0.2,4.3
ahcys_c + h2o_c --> ade_c + rhcys_c,-14.8454400906,-31.9602776253,-0.8,-4.9
10fthf_c + aicar_c <=> fprica_c + thf_c,5.94603557304,5.94603557304,-6.2,-6.2
air_c + atp_c + hco3_c --> 5caiz_c + adp_c + h_c + pi_c,-62.1014479257,-62.1014479257,9.2,9.2
5aizc_c <=> 5caiz_c,-37.8052076882,-37.8052076882,0,0
akg_c + coa_c + nad_c --> co2_c + nadh_c + succoa_c,-27.2393296671,-27.2393296671,-8.3,-8.3
alaala_c + h2o_c --> 2.0 ala__D_c,-2.09003306102,-19.2048705957,-0.4,-4.5
alaala_p + atp_c + h2o_c --> adp_c + alaala_c + h_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-10.7
2.0 ala__D_c + atp_c <=> adp_c + alaala_c + h_c + pi_c,-24.3074820624,-24.3074820624,-6.2,-6.2
ala__L_c <=> ala__D_c,-0.0390694996343,-0.0390694996343,0,0
ala__D_c + pydx5p_c --> pyam5p_c + pyr_c,1.13206673208,1.13206673208,2.5,2.5
akg_c + ala__L_c <=> glu__L_c + pyr_c,-0.219716166034,-0.219716166034,0,0
ala__L_c + pydx5p_c --> pyam5p_c + pyr_c,1.09299723244,1.09299723244,2.5,2.5
ala__L_p + atp_c + h2o_c --> adp_c + ala__L_c + h_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-10.7
glyald_c + h_c + nadh_c <=> glyc_c + nad_c,-39.5769032637,-39.5769032637,-5.4,-5.4
etoh_c + nad_c <=> acald_c + h_c + nadh_c,21.6773126154,21.6773126154,6,6
acald_c + h2o_c + nad_c --> ac_c + 2.0 h_c + nadh_c,-46.9757912796,-46.9757912796,-11.5,-11.5
acald_c + h2o_c + nadp_c --> ac_c + 2.0 h_c + nadph_c,-45.9963125367,-45.9963125367,-11.3,-11.3
h2o_c + nadp_c + ppal_c --> 2.0 h_c + nadph_c + ppa_c,-48.401537465,-48.401537465,-9.2,-9.2
btal_c + h2o_c + nad_c --> but_c + 2.0 h_c + nadh_c,-41.7472719016,-41.7472719016,-9.4,-9.4
all__D_c + atp_c --> adp_c + all6p_c + h_c,-8.92430610157,-8.92430610157,-3.8,-3.8
alltn_c + h2o_c --> alltt_c + h_c,-53.7012133368,-53.7012133368,-3.8,-3.8
all__D_p + atp_c + h2o_c --> adp_c + all__D_c + h_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-10.7
h_c + mthgxl_c + nadph_c --> acetol_c + nadp_c,-21.425742545,-21.425742545,-8.1,-8.1
acetol_c + h_c + nadh_c --> 12ppd__R_c + nad_c,-20.6432191511,-20.6432191511,-3.9,-3.9
altrn_c --> 2ddglcn_c + h2o_c,-37.4292553432,-37.4292553432,-10.7,-10.7
malt_c + malttr_c --> glc__D_c + maltttr_c,-1.1679440151,-1.1679440151,0,0
malt_c + maltttr_c --> glc__D_c + maltpt_c,-1.16793887232,-1.16793887232,0,0
malt_c + maltpt_c --> glc__D_c + malthx_c,-1.1679394545,-1.1679394545,0,0
malt_c + malthx_c --> glc__D_c + malthp_c,-1.16794006425,-1.16794006425,0,0
acmanap_c <=> acgam6p_c,-2.17530559336,-2.17530559336,0,0
acmana_c + atp_c --> acmanap_c + adp_c + h_c,-12.952231088,-12.952231088,-3.8,-3.8
air_c + h2o_c + nad_c --> 4ampm_c + 2.0 for_c + 3.0 h_c + nadh_c,-238.957909098,-273.187584167,-41.1,-49.3
amp_c + h2o_c --> ade_c + r5p_c,-19.356222829,-36.4710603637,-0.8,-4.9
cgly_c + h2o_c --> cys__L_c + gly_c,6.64004786327,-10.4747896715,-0.4,-4.5
anth_c + prpp_c --> ppi_c + pran_c,-54.5019167952,-54.5019167952,-11.3,-11.3
chor_c + gln__L_c --> anth_c + glu__L_c + h_c + pyr_c,-77.6337769048,-94.7486144396,-42.9,-47
2aobut_c + h_c --> aact_c + co2_c,-19.810488291,-36.9253258257,-3.4,-7.5
ala__L_c + h_c + pmcoa_c <=> 8aonn_c + co2_c + coa_c,16.5666339942,-0.548203540544,2,-2.1
ap4a_c + h2o_c --> 2.0 adp_c + 2.0 h_c,-35.8468935182,-52.961731053,-8.4,-12.5
5apru_c + h_c + nadph_c --> 5aprbu_c + nadp_c,-27.5191261422,-27.5191261422,-3.7,-3.7
arab__L_c <=> rbl__L_c,15.3389416665,15.3389416665,-0.8,-0.8
arbtn_fe3_p + atp_c + h2o_c --> adp_c + arbtn_fe3_c + h_c + pi_c,-26.3975151234,-43.5123526581,0.1,-4
arab__L_p + atp_c + h2o_c --> adp_c + arab__L_c + h_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-10.7
arg__L_c + h_c --> agm_c + co2_c,-15.0088965868,-32.1237341215,-3.3,-7.4
arg__L_p + h_p --> agm_p + co2_p,-15.0088965868,-32.1237341215,-3.3,-7.4
argsuc_c <=> arg__L_c + fum_c,12.4585117398,-4.65632579493,7.7,3.6
asp__L_c + atp_c + citr__L_c --> amp_c + argsuc_c + h_c + ppi_c,1.71392162892,1.71392162892,0.8,0.8
arg__L_p + atp_c + h2o_c --> adp_c + arg__L_c + h_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-14.2
aspsa_c + nadp_c + pi_c <=> 4pasp_c + h_c + nadph_c,-14.371155256,2.7436822787,0.2,4.3
asp__L_c + atp_c + gln__L_c + h2o_c --> amp_c + asn__L_c + glu__L_c + h_c + ppi_c,-29.4957250596,-46.6105625943,-8,-12.1
asn__L_p + atp_c + h2o_c --> adp_c + asn__L_c + h_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-10.7
aso3_c + atp_c + h2o_c --> adp_c + aso3_p + h_c + pi_c,-26.3975151234,-43.5123526581,0.1,-4
asp__L_c + h_c --> ala_B_c + co2_c,-20.9961518423,-38.1109893771,-3.3,-7.4
asp__L_c + cbp_c --> cbasp_c + h_c + pi_c,-21.3311534695,-21.3311534695,-9.3,-9.3
asp__L_c + atp_c <=> 4pasp_c + adp_c,18.4329126455,18.4329126455,2.7,2.7
asp__L_c + fum_c --> h_c + iasp_c + succ_c,1.14452991899,1.14452991899,-35.5,-35.5
asp__L_c + o2_c --> h2o2_c + h_c + iasp_c,-69.1158470126,-61.9296843719,-52.1,-50.4
akg_c + asp__L_c <=> glu__L_c + oaa_c,2.88830032628,2.88830032628,0,0
asp__L_p + atp_c + h2o_c --> adp_c + asp__L_c + h_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-7.2
arg__L_c + succoa_c --> coa_c + h_c + sucarg_c,-16.6419586695,-16.6419586695,-5.2,-5.2
athr__L_c + nadp_c <=> 2aobut_c + h_c + nadph_c,20.0446253195,20.0446253195,4.3,4.3
atp_c + h2o_c --> adp_c + h_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-10.7
adp_c + 4.0 h_p + pi_c <=> atp_c + h2o_c + 3.0 h_c,26.3975151234,43.5123526581,6.6,1.2
betald_c + h2o_c + nad_c --> glyb_c + 2.0 h_c + nadh_c,-35.772540683,-35.772540683,-9.4,-9.4
betald_c + h2o_c + nadp_c --> glyb_c + 2.0 h_c + nadph_c,-34.7930619401,-34.7930619401,-9.2,-9.2
h2o_c + pap_c --> amp_c + pi_c,-10.7817700773,-27.896607612,-2.8,-6.9
accoa_c + but_c --> ac_c + btcoa_c,4.07327420341,4.07327420341,-1.5,-1.5
2.0 h2o2_c --> 2.0 h2o_c + o2_c,-193.067781897,-183.139107002,-45.5,-43.1
atp_c + cbi_p + h2o_c --> adp_c + cbi_c + h_c + pi_c,-26.3975151234,-43.5123526581,0.1,-4
atp_c + cbl1_p + h2o_c --> adp_c + cbl1_c + h_c + pi_c,-26.3975151234,-43.5123526581,0.1,-0.5
2.0 atp_c + gln__L_c + h2o_c + hco3_c --> 2.0 adp_c + cbp_c + glu__L_c + 2.0 h_c + pi_c,-6.53024976597,-23.6450873007,-10.5,-14.6
atp_c + cd2_c + h2o_c --> adp_c + cd2_p + h_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-3.7
4c2me_c + atp_c --> 2p4c2me_c + adp_c + h_c,-5.27389119675,-5.27389119675,-3.8,-3.8
atp_c + cgly_p + h2o_c --> adp_c + cgly_c + h_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-10.7
atp_c + chol_p + h2o_c --> adp_c + chol_c + h_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-14.2
chor_c --> pphn_c,-21.070446418,-21.070446418,-17.5,-17.5
3psme_c --> chor_c + pi_c,-48.4868183548,-65.6016558895,-14.2,-18.3
chor_c --> 4hbz_c + pyr_c,-88.0966126562,-105.211450191,-34.5,-38.6
cinnm_c + h_c + nadh_c + o2_c --> cenchddd_c + nad_c,-391.044169983,-366.743169808,-73.8,-68.1
cit_c --> ac_c + oaa_c,4.6320180353,-12.4828194994,1.5,-2.6
cmp_c + h2o_c --> csn_c + r5p_c,-14.1715657902,-31.2864033249,-0.9,-5
atp_c + cobalt2_c + h2o_c --> adp_c + cobalt2_p + h_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-3.7
cpppg3_c + 2.0 h_c + o2_c --> 2.0 co2_c + 2.0 h2o_c + pppg9_c,-358.73258707,-368.661261964,Not calculated,Not calculated
atp_c + crn__D_p + h2o_c --> adp_c + crn__D_c + h_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-10.7
atp_c + crn_p + h2o_c --> adp_c + crn_c + h_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-10.7
accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c,-34.6057107918,-34.6057107918,-8.6,-8.6
atp_c + gln__L_c + h2o_c + utp_c --> adp_c + ctp_c + glu__L_c + 2.0 h_c + pi_c,-12.8127995981,-29.9276371328,-6.3,-10.4
atp_c + cu2_c + h2o_c --> adp_c + cu2_p + h_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-3.7
atp_c + cys__D_p + h2o_c --> adp_c + cys__D_c + h_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-10.7
acser_c + h2s_c --> ac_c + cys__L_c + h_c,-49.2266552768,-49.2266552768,-12.5,-12.5
atp_c + cys__L_c + h2o_c --> adp_c + cys__L_p + h_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-10.7
atp_c + cys__L_p + h2o_c --> adp_c + cys__L_c + h_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-10.7
cytd_c + h2o_c --> csn_c + rib__D_c,1.53262269662,-15.5822148381,-0.9,-5
cytd_c + gtp_c --> cmp_c + gdp_c + h_c,-8.51505484064,-8.51505484064,-4.1,-4.1
atp_c + cmp_c <=> adp_c + cdp_c,-3.21445220845,-3.21445220845,-0.1,-0.1
atp_c + dcmp_c <=> adp_c + dcdp_c,-3.15062586961,-3.15062586961,-0.1,-0.1
atp_c + damp_c <=> adp_c + dadp_c,-0.448738133108,-0.448738133108,-0.1,-0.1
26dap__M_c + h_c --> co2_c + lys__L_c,-17.2798720574,-34.3947095921,-3.3,-7.4
26dap_LL_c <=> 26dap__M_c,-1.65417267623,-1.65417267623,0,0
26dap__M_p + atp_c + h2o_c --> 26dap__M_c + adp_c + h_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-10.7
ru5p__D_c --> db4p_c + for_c + h_c,-81.5430570587,-98.6578945934,-20.7,-24.8
atp_c + co2_c + dann_c --> adp_c + dtbt_c + 3.0 h_c + pi_c,10.1974330373,10.1974330373,-23.9,-23.9
2dh3dgal_c + atp_c --> 2dh3dgal6p_c + adp_c + h_c,-13.5906000342,-13.5906000342,-3.8,-3.8
2ddglcn_c + atp_c --> 2ddg6p_c + adp_c + h_c,-20.480743382,-20.480743382,-1.3,-1.3
e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c,-69.3101890127,-69.3101890127,-12.6,-12.6
2dh3dgal6p_c <=> g3p_c + pyr_c,13.1180926645,-3.99674487024,0.7,-3.4
atp_c + dgmp_c <=> adp_c + dgdp_c,0.0678899842574,0.0678899842574,-0.1,-0.1
23dhmb_c --> 3mob_c + h2o_c,-35.5161353333,-35.5161353333,-6.9,-6.9
23dhmp_c --> 3mop_c + h2o_c,-35.5159484646,-35.5159484646,-6.9,-6.9
dha_c + pep_c --> dhap_c + pyr_c,-41.4052992869,-41.4052992869,-9.1,-9.1
23ddhb_c + nad_c <=> 23dhb_c + h_c + nadh_c,-26.5329582755,-26.5329582755,-8.9,-8.9
cenchddd_c + nad_c --> dhcinnm_c + h_c + nadh_c,-26.5524431865,-26.5524431865,-8.9,-8.9
dhcinnm_c + o2_c --> h_c + hkntd_c,-257.144250996,-232.84325082,-69.3,-63.6
23dhdp_c + h_c + nadph_c --> nadp_c + thdp_c,-21.5851183667,-21.5851183667,-1,-1
aspsa_c + pyr_c --> 23dhdp_c + 2.0 h2o_c + h_c,-114.487606153,-97.3727686186,-31.6,-27.5
dhf_c + h_c + nadph_c <=> nadp_c + thf_c,-27.3248447295,-27.3248447295,-0.7,-0.7
atp_c + dhpt_c + glu__L_c --> adp_c + dhf_c + h_c + pi_c,-14.9290467437,-14.9290467437,-6.2,-6.2
dhor__S_c + h2o_c <=> cbasp_c + h_c,-3.64159384142,-3.64159384142,-5.3,-5.3
cechddd_c + nad_c --> dhpppn_c + h_c + nadh_c,-26.5559857253,-26.5559857253,-8.9,-8.9
4abz_c + 6hmhptpp_c --> dhpt_c + ppi_c,-48.2788065728,-48.2788065728,-11.3,-11.3
2dda7p_c --> 3dhq_c + pi_c,-130.800806779,-147.915644314,-18.5,-22.6
3dhq_c --> 3dhsk_c + h2o_c,-5.29089103437,-5.29089103437,-8.5,-8.5
25dkglcn_c + h_c + nadh_c --> 5dglcn_c + nad_c,-25.7008398723,-25.7008398723,-6.4,-6.4
25dkglcn_c + h_c + nadph_c --> 5dglcn_c + nadp_c,-26.6803186151,-26.6803186151,-6.7,-6.7
dmpp_c + ipdp_c --> grdp_c + ppi_c,-71.1846683596,-71.1846683596,-13.3,-13.3
h2mb4p_c + h_c + nadh_c --> dmpp_c + h2o_c + nad_c,-66.397581678,-66.397581678,-16.4,-16.4
dhpmp_c + h2o_c --> dhnpt_c + pi_c,-14.7599811765,-31.8748187112,-2.8,-6.9
ahdt_c + h2o_c --> dhpmp_c + h_c + ppi_c,-39.8719992593,-56.986836794,-8.2,-12.3
23doguln_c + h_c + nadh_c --> 3dhguln_c + nad_c,-20.6511655554,-20.6511655554,-8.9,-8.9
atp_c + dpcoa_c --> adp_c + coa_c + h_c,3.65310915603,3.65310915603,-3.8,-3.8
2dhp_c + h_c + nadph_c --> nadp_c + pant__R_c,-20.5823735248,-20.5823735248,-6.7,-6.7
2dr5p_c --> acald_c + g3p_c,20.2033574574,3.08851992273,1.2,-2.9
nadp_c + ser__D_c <=> 2amsa_c + h_c + nadph_c,23.4985802197,23.4985802197,5.8,5.8
atp_c + dtmp_c <=> adp_c + dtdp_c,-3.13163768738,-3.13163768738,-0.1,-0.1
atp_c + duri_c --> adp_c + dump_c + h_c,-12.7668829432,-12.7668829432,-3.8,-3.8
duri_c + pi_c <=> 2dr1p_c + ura_c,2.33631675446,2.33631675446,1.9,1.9
dutp_c + h2o_c --> dump_c + h_c + ppi_c,-38.2760736464,-55.3909111811,-8,-12.1
dxyl5p_c + h_c + nadph_c --> 2me4p_c + nadp_c,-23.2111196653,-23.2111196653,-5.5,-5.5
g3p_c + h_c + pyr_c --> co2_c + dxyl5p_c,-29.0179840305,-29.0179840305,-8.3,-8.3
atp_c + dxyl_c --> adp_c + dxyl5p_c + h_c,-12.3021057791,-12.3021057791,-4.1,-4.1
e4p_c + h2o_c + nad_c <=> 4per_c + 2.0 h_c + nadh_c,-41.5199340741,-41.5199340741,-9.4,-9.4
3hbcoa_c <=> b2coa_c + h2o_c,3.75559660109,3.75559660109,2.1,2.1
3hhcoa_c <=> h2o_c + hx2coa_c,1.02137499927,1.02137499927,2.1,2.1
3hocoa_c <=> h2o_c + oc2coa_c,0.670391300146,0.670391300146,2.1,2.1
3hdcoa_c <=> dc2coa_c + h2o_c,0.670391300146,0.670391300146,2.1,2.1
3hddcoa_c <=> dd2coa_c + h2o_c,0.670391300146,0.670391300146,2.1,2.1
3htdcoa_c <=> h2o_c + td2coa_c,0.670391300147,0.670391300147,2.1,2.1
3hhdcoa_c <=> h2o_c + hdd2coa_c,0.670391300147,0.670391300147,2.1,2.1
3hodcoa_c <=> h2o_c + od2coa_c,0.670391300147,0.670391300147,2.1,2.1
2ddg6p_c --> g3p_c + pyr_c,15.5303578948,-1.58447963989,0.7,-3.4
6pgc_c --> 2ddg6p_c + h2o_c,-43.0658455607,-43.0658455607,-8.3,-8.3
2pg_c <=> h2o_c + pep_c,-4.08890141737,-4.08890141737,-0.9,-0.9
f6p_c <=> dha_c + g3p_c,18.5672654203,1.45242788556,4.2,0.1
f6p_c + h2o_c --> fru_c + pi_c,-11.7474975191,-28.8623350538,-2.8,-6.9
dcacoa_c + h2o_c --> coa_c + dca_c + h_c,-24.9918638068,-42.1067013415,-5.6,-9.7
ddcacoa_c + h2o_c --> coa_c + ddca_c + h_c,-24.9918638068,-42.1067013415,-5.6,-9.7
h2o_c + tdcoa_c --> coa_c + h_c + ttdca_c,-24.9918638068,-42.1067013415,-5.6,-9.7
h2o_c + pmtcoa_c --> coa_c + h_c + hdca_c,-22.24913581,-39.3639733447,-5.6,-9.7
h2o_c + stcoa_c --> coa_c + h_c + ocdca_c,-24.9918638068,-42.1067013415,-5.6,-9.7
h2o_c + hxcoa_c --> coa_c + h_c + hxa_c,-24.9877897523,-42.102627287,-5.6,-9.7
h2o_c + occoa_c --> coa_c + h_c + octa_c,-25.0017306093,-42.1165681441,-5.6,-9.7
atp_c + coa_c + dca_p + h_p --> amp_c + dcacoa_c + h_c + ppi_c,-9.46267904662,-9.46267904662,-2.4,-2.4
atp_c + coa_c + ddca_p + h_p --> amp_c + ddcacoa_c + h_c + ppi_c,-9.46267904662,-9.46267904662,-2.4,-2.4
atp_c + coa_c + h_p + ttdca_p --> amp_c + h_c + ppi_c + tdcoa_c,-9.46267904662,-9.46267904662,-2.4,-2.4
atp_c + coa_c + h_p + hdca_p --> amp_c + h_c + pmtcoa_c + ppi_c,-12.2054070434,-12.2054070434,-2.4,-2.4
atp_c + coa_c + h_p + ocdca_p --> amp_c + h_c + ppi_c + stcoa_c,-9.46267904661,-9.46267904661,-2.4,-2.4
atp_c + coa_c + h_p + hxa_p --> amp_c + h_c + hxcoa_c + ppi_c,-9.4667531011,-9.4667531011,-2.4,-2.4
atp_c + coa_c + h_p + octa_p --> amp_c + h_c + occoa_c + ppi_c,-9.45281224405,-9.45281224405,-2.4,-2.4
fad_c + h_c + nadh_c --> fadh2_c + nad_c,-16.9896812725,-16.9896812725,-4,-4
fad_c + h_c + nadph_c --> fadh2_c + nadp_c,-17.9691600154,-17.9691600154,-4.3,-4.3
fdp_c <=> dhap_c + g3p_c,19.8039189814,2.68908144672,4.2,0.1
fdp_c + h2o_c --> f6p_c + pi_c,-11.4289050453,-28.54374258,-2.8,-6.9
fuc__L_c <=> fcl__L_c,5.4790036671,5.4790036671,0,0
atp_c + fcl__L_c --> adp_c + fc1p_c + h_c,-18.2946065815,-18.2946065815,-3.8,-3.8
fc1p_c <=> dhap_c + lald__L_c,19.8039862151,2.68914868037,3.4,-0.7
atp_c + fe2_p + h2o_c --> adp_c + fe2_c + h_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-17.6
atp_c + fe3hox_p + h2o_c --> adp_c + fe3hox_c + h_c + pi_c,-26.3975151234,-43.5123526581,0.1,-4
fadh2_c + 2.0 fe3_c --> fad_c + 2.0 fe2_c + 2.0 h_c,-189.524261615,-189.524261615,-45.9,-45.9
atp_c + fe3_p + h2o_c --> adp_c + fe3_c + h_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-21.1
atp_c + fecrm_p + h2o_c --> adp_c + fecrm_c + h_c + pi_c,-26.3975151234,-43.5123526581,0.1,-4
fadh2_c + 2.0 feenter_c --> 2.0 enter_c + fad_c + 2.0 fe2_c + 2.0 h_c,-209.767234216,-243.996909286,Not calculated,Not calculated
2.0 feenter_c + fmnh2_c --> 2.0 enter_c + 2.0 fe2_c + fmn_c + 2.0 h_c,-205.075386733,-239.305061803,Not calculated,Not calculated
