reaction formula,dG0_prime,dGm_prime,deltaGpH72,mMdeltaGpH72
chor_c + gln__L_c --> anth_c + glu__L_c + h_c + pyr_c,-78.7668182341,-95.8816557688,-42.9,-47
2aobut_c + h_c --> aact_c + co2_c,-18.8856129144,-36.0004504492,-3.4,-7.5
ala__L_c + h_c + pmcoa_c <=> 8aonn_c + co2_c + coa_c,11.6032459764,-5.51159155834,2,-2.1
ap4a_c + h2o_c --> 2.0 adp_c + 2.0 h_c,-38.1952414269,-55.3100789616,-8.4,-12.5
5apru_c + h_c + nadph_c --> 5aprbu_c + nadp_c,-31.3385419492,-31.3385419492,-3.7,-3.7
arab__L_c <=> rbl__L_c,15.339003797,15.339003797,-0.8,-0.8
arbtn_fe3_p + atp_c + h2o_c --> adp_c + arbtn_fe3_c + h_c + pi_c,-28.7657317899,-45.8805693246,0.1,-4
arab__L_p + atp_c + h2o_c --> adp_c + arab__L_c + h_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-10.7
arg__L_c + h_c --> agm_c + co2_c,-12.6369283197,-29.7517658544,-3.3,-7.4
arg__L_p + h_p --> agm_p + co2_p,-12.6369283197,-29.7517658544,-3.3,-7.4
argsuc_c <=> arg__L_c + fum_c,14.8752472128,-2.23959032196,7.7,3.6
asp__L_c + atp_c + citr__L_c --> amp_c + argsuc_c + h_c + ppi_c,1.31709770404,1.31709770404,0.8,0.8
arg__L_p + atp_c + h2o_c --> adp_c + arg__L_c + h_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-14.2
aspsa_c + nadp_c + pi_c <=> 4pasp_c + h_c + nadph_c,-10.2169157422,6.89792179256,0.2,4.3
asp__L_c + atp_c + gln__L_c + h2o_c --> amp_c + asn__L_c + glu__L_c + h_c + ppi_c,-29.9031127436,-47.0179502783,-8,-12.1
asn__L_p + atp_c + h2o_c --> adp_c + asn__L_c + h_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-10.7
aso3_c + atp_c + h2o_c --> adp_c + aso3_p + h_c + pi_c,-28.7657317899,-45.8805693246,0.1,-4
asp__L_c + h_c --> ala_B_c + co2_c,-21.0841124076,-38.1989499423,-3.3,-7.4
asp__L_c + cbp_c --> cbasp_c + h_c + pi_c,-21.5650656006,-21.5650656006,-9.3,-9.3
asp__L_c + atp_c <=> 4pasp_c + adp_c,16.389260689,16.389260689,2.7,2.7
asp__L_c + fum_c --> h_c + iasp_c + succ_c,1.10952386386,1.10952386386,-35.5,-35.5
asp__L_c + o2_c --> h2o2_c + h_c + iasp_c,-69.1218472079,-61.9356845673,-52.1,-50.4
akg_c + asp__L_c <=> glu__L_c + oaa_c,2.89029430586,2.89029430586,0,0
asp__L_p + atp_c + h2o_c --> adp_c + asp__L_c + h_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-7.2
arg__L_c + succoa_c --> coa_c + h_c + sucarg_c,-22.6840695505,-22.6840695505,-5.2,-5.2
athr__L_c + nadp_c <=> 2aobut_c + h_c + nadph_c,23.8247766284,23.8247766284,4.3,4.3
atp_c + h2o_c --> adp_c + h_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-10.7
adp_c + 4.0 h_p + pi_c <=> atp_c + h2o_c + 3.0 h_c,28.7657317899,45.8805693246,6.6,1.2
betald_c + h2o_c + nad_c --> glyb_c + 2.0 h_c + nadh_c,-35.6121303371,-35.6121303371,-9.4,-9.4
betald_c + h2o_c + nadp_c --> glyb_c + 2.0 h_c + nadph_c,-32.1920947363,-32.1920947363,-9.2,-9.2
h2o_c + pap_c --> amp_c + pi_c,-15.8731648375,-32.9880023722,-2.8,-6.9
accoa_c + but_c --> ac_c + btcoa_c,3.91072565941,3.91072565941,-1.5,-1.5
2.0 h2o2_c --> 2.0 h2o_c + o2_c,-193.067789993,-183.139115099,-45.5,-43.1
atp_c + cbi_p + h2o_c --> adp_c + cbi_c + h_c + pi_c,-28.7657317899,-45.8805693246,0.1,-4
atp_c + cbl1_p + h2o_c --> adp_c + cbl1_c + h_c + pi_c,-28.7657317899,-45.8805693246,0.1,-0.5
2.0 atp_c + gln__L_c + h2o_c + hco3_c --> 2.0 adp_c + cbp_c + glu__L_c + 2.0 h_c + pi_c,-9.73282223117,-26.8476597659,-10.5,-14.6
atp_c + cd2_c + h2o_c --> adp_c + cd2_p + h_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-3.7
4c2me_c + atp_c --> 2p4c2me_c + adp_c + h_c,-2.5710577835,-2.5710577835,-3.8,-3.8
atp_c + cgly_p + h2o_c --> adp_c + cgly_c + h_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-10.7
atp_c + chol_p + h2o_c --> adp_c + chol_c + h_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-14.2
chor_c --> pphn_c,-21.0698949057,-21.0698949057,-17.5,-17.5
3psme_c --> chor_c + pi_c,-53.4352568817,-70.5500944165,-14.2,-18.3
chor_c --> 4hbz_c + pyr_c,-89.3140608679,-106.428898403,-34.5,-38.6
cinnm_c + h_c + nadh_c + o2_c --> cenchddd_c + nad_c,-392.345530058,-368.044529883,-73.8,-68.1
cit_c --> ac_c + oaa_c,2.20767141248,-14.9071661222,1.5,-2.6
cmp_c + h2o_c --> csn_c + r5p_c,-14.1081676061,-31.2230051408,-0.9,-5
atp_c + cobalt2_c + h2o_c --> adp_c + cobalt2_p + h_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-3.7
cpppg3_c + 2.0 h_c + o2_c --> 2.0 co2_c + 2.0 h2o_c + pppg9_c,-365.010235038,-374.938909932,Not calculated,Not calculated
atp_c + crn__D_p + h2o_c --> adp_c + crn__D_c + h_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-10.7
atp_c + crn_p + h2o_c --> adp_c + crn_c + h_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-10.7
accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c,-32.1134685942,-32.1134685942,-8.6,-8.6
atp_c + gln__L_c + h2o_c + utp_c --> adp_c + ctp_c + glu__L_c + 2.0 h_c + pi_c,-17.5891184471,-34.7039559818,-6.3,-10.4
atp_c + cu2_c + h2o_c --> adp_c + cu2_p + h_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-3.7
atp_c + cys__D_p + h2o_c --> adp_c + cys__D_c + h_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-10.7
acser_c + h2s_c --> ac_c + cys__L_c + h_c,-49.2288505644,-49.2288505644,-12.5,-12.5
atp_c + cys__L_c + h2o_c --> adp_c + cys__L_p + h_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-10.7
atp_c + cys__L_p + h2o_c --> adp_c + cys__L_c + h_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-10.7
cytd_c + h2o_c --> csn_c + rib__D_c,1.47894483699,-15.6358926977,-0.9,-5
cytd_c + gtp_c --> cmp_c + gdp_c + h_c,-10.6733435298,-10.6733435298,-4.1,-4.1
atp_c + cmp_c <=> adp_c + cdp_c,-5.22439431166,-5.22439431166,-0.1,-0.1
atp_c + dcmp_c <=> adp_c + dcdp_c,-5.15607785359,-5.15607785359,-0.1,-0.1
atp_c + damp_c <=> adp_c + dadp_c,-2.43773246943,-2.43773246943,-0.1,-0.1
26dap__M_c + h_c --> co2_c + lys__L_c,-16.144844445,-33.2596819797,-3.3,-7.4
26dap_LL_c <=> 26dap__M_c,-1.65417267623,-1.65417267623,0,0
26dap__M_p + atp_c + h2o_c --> 26dap__M_c + adp_c + h_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-10.7
ru5p__D_c --> db4p_c + for_c + h_c,-81.4341562492,-98.5489937839,-20.7,-24.8
atp_c + co2_c + dann_c --> adp_c + dtbt_c + 3.0 h_c + pi_c,7.18515318948,7.18515318948,-23.9,-23.9
2dh3dgal_c + atp_c --> 2dh3dgal6p_c + adp_c + h_c,-13.4693303541,-13.4693303541,-3.8,-3.8
2ddglcn_c + atp_c --> 2ddg6p_c + adp_c + h_c,-20.3594737019,-20.3594737019,-1.3,-1.3
e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c,-69.8101067829,-69.8101067829,-12.6,-12.6
2dh3dgal6p_c <=> g3p_c + pyr_c,10.8752331375,-6.23960439727,0.7,-3.4
atp_c + dgmp_c <=> adp_c + dgdp_c,-1.96628239781,-1.96628239781,-0.1,-0.1
23dhmb_c --> 3mob_c + h2o_c,-35.5161168574,-35.5161168574,-6.9,-6.9
23dhmp_c --> 3mop_c + h2o_c,-35.5159237667,-35.5159237667,-6.9,-6.9
dha_c + pep_c --> dhap_c + pyr_c,-43.8515232495,-43.8515232495,-9.1,-9.1
23ddhb_c + nad_c <=> 23dhb_c + h_c + nadh_c,-25.2252894128,-25.2252894128,-8.9,-8.9
cenchddd_c + nad_c --> dhcinnm_c + h_c + nadh_c,-25.2361217353,-25.2361217353,-8.9,-8.9
dhcinnm_c + o2_c --> h_c + hkntd_c,-255.851921813,-231.550921638,-69.3,-63.6
23dhdp_c + h_c + nadph_c --> nadp_c + thdp_c,-25.3272116632,-25.3272116632,-1,-1
aspsa_c + pyr_c --> 23dhdp_c + 2.0 h2o_c + h_c,-113.182197201,-96.0673596664,-31.6,-27.5
dhf_c + h_c + nadph_c <=> nadp_c + thf_c,-31.4804404318,-31.4804404318,-0.7,-0.7
atp_c + dhpt_c + glu__L_c --> adp_c + dhf_c + h_c + pi_c,-16.0817159394,-16.0817159394,-6.2,-6.2
dhor__S_c + h2o_c <=> cbasp_c + h_c,-2.34667247161,-2.34667247161,-5.3,-5.3
cechddd_c + nad_c --> dhpppn_c + h_c + nadh_c,-25.238652701,-25.238652701,-8.9,-8.9
4abz_c + 6hmhptpp_c --> dhpt_c + ppi_c,-46.4695948554,-46.4695948554,-11.3,-11.3
2dda7p_c --> 3dhq_c + pi_c,-133.261604151,-150.376441685,-18.5,-22.6
3dhq_c --> 3dhsk_c + h2o_c,-5.29089064431,-5.29089064431,-8.5,-8.5
25dkglcn_c + h_c + nadh_c --> 5dglcn_c + nad_c,-27.0009130941,-27.0009130941,-6.4,-6.4
25dkglcn_c + h_c + nadph_c --> 5dglcn_c + nadp_c,-30.4209486948,-30.4209486948,-6.7,-6.7
dmpp_c + ipdp_c --> grdp_c + ppi_c,-69.5174718287,-69.5174718287,-13.3,-13.3
h2mb4p_c + h_c + nadh_c --> dmpp_c + h2o_c + nad_c,-67.6989645547,-67.6989645547,-16.4,-16.4
dhpmp_c + h2o_c --> dhnpt_c + pi_c,-14.9385223243,-32.053359859,-2.8,-6.9
ahdt_c + h2o_c --> dhpmp_c + h_c + ppi_c,-40.3963028251,-57.5111403598,-8.2,-12.3
23doguln_c + h_c + nadh_c --> 3dhguln_c + nad_c,-21.9493861723,-21.9493861723,-8.9,-8.9
atp_c + dpcoa_c --> adp_c + coa_c + h_c,6.54392198267,6.54392198267,-3.8,-3.8
2dhp_c + h_c + nadph_c --> nadp_c + pant__R_c,-24.3243506472,-24.3243506472,-6.7,-6.7
2dr5p_c --> acald_c + g3p_c,20.161249417,3.04641188228,1.2,-2.9
nadp_c + ser__D_c <=> 2amsa_c + h_c + nadph_c,27.2818568247,27.2818568247,5.8,5.8
atp_c + dtmp_c <=> adp_c + dtdp_c,-4.62277666227,-4.62277666227,-0.1,-0.1
atp_c + duri_c --> adp_c + dump_c + h_c,-13.9977380047,-13.9977380047,-3.8,-3.8
duri_c + pi_c <=> 2dr1p_c + ura_c,2.55471584848,2.55471584848,1.9,1.9
dutp_c + h2o_c --> dump_c + h_c + ppi_c,-40.0005143127,-57.1153518474,-8,-12.1
dxyl5p_c + h_c + nadph_c --> 2me4p_c + nadp_c,-26.9565925991,-26.9565925991,-5.5,-5.5
g3p_c + h_c + pyr_c --> co2_c + dxyl5p_c,-29.1271548353,-29.1271548353,-8.3,-8.3
atp_c + dxyl_c --> adp_c + dxyl5p_c + h_c,-14.4497014424,-14.4497014424,-4.1,-4.1
e4p_c + h2o_c + nad_c <=> 4per_c + 2.0 h_c + nadh_c,-37.863045974,-37.863045974,-9.4,-9.4
3hbcoa_c <=> b2coa_c + h2o_c,3.60297161983,3.60297161983,2.1,2.1
3hhcoa_c <=> h2o_c + hx2coa_c,0.993782598601,0.993782598601,2.1,2.1
3hocoa_c <=> h2o_c + oc2coa_c,0.520095210531,0.520095210531,2.1,2.1
3hdcoa_c <=> dc2coa_c + h2o_c,0.520095210531,0.520095210531,2.1,2.1
3hddcoa_c <=> dd2coa_c + h2o_c,0.520095210531,0.520095210531,2.1,2.1
3htdcoa_c <=> h2o_c + td2coa_c,0.520095210531,0.520095210531,2.1,2.1
3hhdcoa_c <=> h2o_c + hdd2coa_c,0.520095210532,0.520095210532,2.1,2.1
3hodcoa_c <=> h2o_c + od2coa_c,0.520095210532,0.520095210532,2.1,2.1
2ddg6p_c --> g3p_c + pyr_c,13.2874983678,-3.82733916692,0.7,-3.4
6pgc_c --> 2ddg6p_c + h2o_c,-43.0727193238,-43.0727193238,-8.3,-8.3
2pg_c <=> h2o_c + pep_c,-4.09323509379,-4.09323509379,-0.9,-0.9
f6p_c <=> dha_c + g3p_c,18.5194404377,1.40460290299,4.2,0.1
f6p_c + h2o_c --> fru_c + pi_c,-12.0418808368,-29.1567183715,-2.8,-6.9
dcacoa_c + h2o_c --> coa_c + dca_c + h_c,-24.775523084,-41.8903606187,-5.6,-9.7
ddcacoa_c + h2o_c --> coa_c + ddca_c + h_c,-24.775523084,-41.8903606187,-5.6,-9.7
h2o_c + tdcoa_c --> coa_c + h_c + ttdca_c,-24.775523084,-41.8903606187,-5.6,-9.7
h2o_c + pmtcoa_c --> coa_c + h_c + hdca_c,-22.0327950872,-39.147632622,-5.6,-9.7
h2o_c + stcoa_c --> coa_c + h_c + ocdca_c,-24.775523084,-41.8903606187,-5.6,-9.7
h2o_c + hxcoa_c --> coa_c + h_c + hxa_c,-24.7429520313,-41.857789566,-5.6,-9.7
h2o_c + occoa_c --> coa_c + h_c + octa_c,-24.7857241425,-41.9005616773,-5.6,-9.7
atp_c + coa_c + dca_p + h_p --> amp_c + dcacoa_c + h_c + ppi_c,-10.088197863,-10.088197863,-2.4,-2.4
atp_c + coa_c + ddca_p + h_p --> amp_c + ddcacoa_c + h_c + ppi_c,-10.088197863,-10.088197863,-2.4,-2.4
atp_c + coa_c + h_p + ttdca_p --> amp_c + h_c + ppi_c + tdcoa_c,-10.088197863,-10.088197863,-2.4,-2.4
atp_c + coa_c + h_p + hdca_p --> amp_c + h_c + pmtcoa_c + ppi_c,-12.8309258598,-12.8309258598,-2.4,-2.4
atp_c + coa_c + h_p + ocdca_p --> amp_c + h_c + ppi_c + stcoa_c,-10.088197863,-10.088197863,-2.4,-2.4
atp_c + coa_c + h_p + hxa_p --> amp_c + h_c + hxcoa_c + ppi_c,-10.1207689158,-10.1207689158,-2.4,-2.4
atp_c + coa_c + h_p + octa_p --> amp_c + h_c + occoa_c + ppi_c,-10.0779968045,-10.0779968045,-2.4,-2.4
fad_c + h_c + nadh_c --> fadh2_c + nad_c,-20.8160903686,-20.8160903686,-4,-4
fad_c + h_c + nadph_c --> fadh2_c + nadp_c,-24.2361259694,-24.2361259694,-4.3,-4.3
fdp_c <=> dhap_c + g3p_c,15.0266887367,-2.08814879804,4.2,0.1
fdp_c + h2o_c --> f6p_c + pi_c,-16.455704107,-33.5705416417,-2.8,-6.9
fuc__L_c <=> fcl__L_c,5.47904234634,5.47904234634,0,0
atp_c + fcl__L_c --> adp_c + fc1p_c + h_c,-20.3631006429,-20.3631006429,-3.8,-3.8
fc1p_c <=> dhap_c + lald__L_c,19.8016120553,2.68677452056,3.4,-0.7
atp_c + fe2_p + h2o_c --> adp_c + fe2_c + h_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-17.6
atp_c + fe3hox_p + h2o_c --> adp_c + fe3hox_c + h_c + pi_c,-28.7657317899,-45.8805693246,0.1,-4
fadh2_c + 2.0 fe3_c --> fad_c + 2.0 fe2_c + 2.0 h_c,-194.177843875,-194.177843875,-45.9,-45.9
atp_c + fe3_p + h2o_c --> adp_c + fe3_c + h_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-21.1
atp_c + fecrm_p + h2o_c --> adp_c + fecrm_c + h_c + pi_c,-28.7657317899,-45.8805693246,0.1,-4
fadh2_c + 2.0 feenter_c --> 2.0 enter_c + fad_c + 2.0 fe2_c + 2.0 h_c,-203.403398658,-237.633073728,Not calculated,Not calculated
2.0 feenter_c + fmnh2_c --> 2.0 enter_c + 2.0 fe2_c + fmn_c + 2.0 h_c,-201.236888679,-235.466563748,Not calculated,Not calculated
